Date,Residential
Jan/01/1990,3078071.96774194
Feb/01/1990,2660656.07142857
Mar/01/1990,2319411.83870968
Apr/01/1990,2173020.6
May/01/1990,2028419.61290323
Jun/01/1990,2463327.03333333
Jul/01/1990,2730712.27041503
Aug/01/1990,2856897.70967742
Sep/01/1990,2874665.5
Oct/01/1990,2245006.5483871
Nov/01/1990,2214274.6
Dec/01/1990,2531102
Jan/01/1991,3027566.96774194
Feb/01/1991,2837286.28571429
Mar/01/1991,2382662.83870968
Apr/01/1991,2078525.70014424
May/01/1991,2169899.12903226
Jun/01/1991,2698235.5
Jul/01/1991,3050616.58064516
Aug/01/1991,2998920.61290323
Sep/01/1991,2817882.03333333
Oct/01/1991,2234079.93548387
Nov/01/1991,2363542.43333333
Dec/01/1991,2642566.93548387
Jan/01/1992,2950721.51612903
Feb/01/1992,2833313.31034483
Mar/01/1992,2379152.67741935
Apr/01/1992,2281670.8
May/01/1992,2089759.32258065
Jun/01/1992,2363554.56666667
Jul/01/1992,2863402.06451613
Aug/01/1992,2954686.3151357
Sep/01/1992,NaN
Oct/01/1992,2256842.32258065
Nov/01/1992,2335386.1
Dec/01/1992,2823207.51612903
Jan/01/1993,3025560.32258065
Feb/01/1993,NaN
Mar/01/1993,2679154.38709677
Apr/01/1993,2323421.3
May/01/1993,2060731.06451613
Jun/01/1993,2552670.1
Jul/01/1993,3259372.22580645
Aug/01/1993,3296508.19354839
Sep/01/1993,2963523.3
Oct/01/1993,2315692.83870968
Nov/01/1993,2424191.96666667
Dec/01/1993,2828849.29032258
Jan/01/1994,3349186.22580645
Feb/01/1994,3202963.5
Mar/01/1994,2576883.77419355
Apr/01/1994,2316415.73333333
May/01/1994,2166343.87096774
Jun/01/1994,2803151.8
Jul/01/1994,3342533.83870968
Aug/01/1994,3121011.03225806
Sep/01/1994,2845027.6
Oct/01/1994,2312424.51612903
Nov/01/1994,2369116.46666667
Dec/01/1994,2769918.90322581
Jan/01/1995,3114600
